Title,Director,Cast,Year,Language,movie_info
Pandavulu Pandavulu Tummeda,Sriwass,"Mohan Babu, Manchu Vishnu, Manchu Manoj, Raveena Tandon, Hansika Motwani, Pranitha Subhash",2014,Telugu,"Movie Title: Pandavulu Pandavulu Tummeda. Directed by: Sriwass. Starring: Mohan Babu, Manchu Vishnu, Manchu Manoj, Raveena Tandon, Hansika Motwani, Pranitha Subhash. Released in: 2014."
Medaram Jathara,Sheshidhar,Suman,2014,Telugu,Movie Title: Medaram Jathara. Directed by: Sheshidhar. Starring: Suman. Released in: 2014.
Paisa,Krishna Vamsi,"Nani, Catherine Tresa, Siddhika Sharma, Charanraj, Bharath Reddy, Tabar",2014,Telugu,"Movie Title: Paisa. Directed by: Krishna Vamsi. Starring: Nani, Catherine Tresa, Siddhika Sharma, Charanraj, Bharath Reddy, Tabar. Released in: 2014."
Malligadu Marriage Bureau,Uday Raj,"Srikanth, Brahmanandam, Manochitra",2014,Telugu,"Movie Title: Malligadu Marriage Bureau. Directed by: Uday Raj. Starring: Srikanth, Brahmanandam, Manochitra. Released in: 2014."
Dil Deewana,Thumma Kiran,"Raj Arun Reddy, Rohit Reddy, Abha Singhal, Neha Deshpande",2014,Telugu,"Movie Title: Dil Deewana. Directed by: Thumma Kiran. Starring: Raj Arun Reddy, Rohit Reddy, Abha Singhal, Neha Deshpande. Released in: 2014."
Hum Tum,Ram Bimana,"Manish, Simran, Nikhil Chakravathi, Aishwariya, M. S. Narayana, Dharmavarapu Subramanyam",2014,Telugu,"Movie Title: Hum Tum. Directed by: Ram Bimana. Starring: Manish, Simran, Nikhil Chakravathi, Aishwariya, M. S. Narayana, Dharmavarapu Subramanyam. Released in: 2014."
Love Dot Com,Raja Vannem Reddy,"Arya Sandeep, Neethi Taylor, Dharmavarapu Subramanyam",2014,Telugu,"Movie Title: Love Dot Com. Directed by: Raja Vannem Reddy. Starring: Arya Sandeep, Neethi Taylor, Dharmavarapu Subramanyam. Released in: 2014."
Naa Rakumarudu,T. Satya,"Naveen Chandra, Ritu Varma",2014,Telugu,"Movie Title: Naa Rakumarudu. Directed by: T. Satya. Starring: Naveen Chandra, Ritu Varma. Released in: 2014."
Alibaba Okkade Donga,Phani Prakash,"Ali, Suja Varunee, Allari Naresh (Voice-over)",2014,Telugu,"Movie Title: Alibaba Okkade Donga. Directed by: Phani Prakash. Starring: Ali, Suja Varunee, Allari Naresh (Voice-over). Released in: 2014."
Bhimavaram Bullodu,Udayasankar,"Sunil, Ester Noronha",2014,Telugu,"Movie Title: Bhimavaram Bullodu. Directed by: Udayasankar. Starring: Sunil, Ester Noronha. Released in: 2014."
Basanti,Chaitanya Dantuluri,"Raja Goutham, Alisha Baig",2014,Telugu,"Movie Title: Basanti. Directed by: Chaitanya Dantuluri. Starring: Raja Goutham, Alisha Baig. Released in: 2014."
Bangaru Kodipetta,Raj Pippalla,"Navdeep, Swati Reddy, Santhosh, Ram",2014,Telugu,"Movie Title: Bangaru Kodipetta. Directed by: Raj Pippalla. Starring: Navdeep, Swati Reddy, Santhosh, Ram. Released in: 2014."
Nuvve Naa Bangaram,Ram Venky,"Sai Krishna, Sheena Shahabadi, Nisha Kothari, Suman",2014,Telugu,"Movie Title: Nuvve Naa Bangaram. Directed by: Ram Venky. Starring: Sai Krishna, Sheena Shahabadi, Nisha Kothari, Suman. Released in: 2014."
