Title,Director,Cast,Year,Language,movie_info
Savitri,Pavan Sadineni,"Nara Rohit, Nanditha Raj",2016,Telugu,"Movie Title: Savitri. Directed by: Pavan Sadineni. Starring: Nara Rohit, Nanditha Raj. Released in: 2016."
Sardaar Gabbar Singh,K. S. Ravindra,"Pawan Kalyan, Kajal Aggarwal, Sharad Kelkar",2016,Telugu,"Movie Title: Sardaar Gabbar Singh. Directed by: K. S. Ravindra. Starring: Pawan Kalyan, Kajal Aggarwal, Sharad Kelkar. Released in: 2016."
Eedo Rakam Aado Rakam,G. Nageswara Reddy,"Manchu Vishnu, Raj Tarun, Hebah Patel, Sonarika Bhadoria",2016,Telugu,"Movie Title: Eedo Rakam Aado Rakam. Directed by: G. Nageswara Reddy. Starring: Manchu Vishnu, Raj Tarun, Hebah Patel, Sonarika Bhadoria. Released in: 2016."
Sarrainodu,Boyapati Srinu,"Allu Arjun, Srikanth, Aadhi Pinisetty, Rakul Preet Singh, Catherine Tresa, Pradeep Rawat, Sai Kumar, Jayaprakash, Brahmanandam",2016,Telugu,"Movie Title: Sarrainodu. Directed by: Boyapati Srinu. Starring: Allu Arjun, Srikanth, Aadhi Pinisetty, Rakul Preet Singh, Catherine Tresa, Pradeep Rawat, Sai Kumar, Jayaprakash, Brahmanandam. Released in: 2016."
Raja Cheyyi Vesthe,Pradeep,"Nara Rohit, Isha Talwar, Taraka Ratna",2016,Telugu,"Movie Title: Raja Cheyyi Vesthe. Directed by: Pradeep. Starring: Nara Rohit, Isha Talwar, Taraka Ratna. Released in: 2016."
Supreme,Anil Ravipudi,"Sai Dharam Tej, Raashi Khanna, Master Mikhail Gandhi, Rajendra Prasad, Kabir Duhan Singh, Ravi Kishan, Sai Kumar",2016,Telugu,"Movie Title: Supreme. Directed by: Anil Ravipudi. Starring: Sai Dharam Tej, Raashi Khanna, Master Mikhail Gandhi, Rajendra Prasad, Kabir Duhan Singh, Ravi Kishan, Sai Kumar. Released in: 2016."
Brahmotsavam,Srikanth Addala,"Mahesh Babu, Kajal Aggarwal, Samantha Ruth Prabhu, Pranitha Subhash",2016,Telugu,"Movie Title: Brahmotsavam. Directed by: Srikanth Addala. Starring: Mahesh Babu, Kajal Aggarwal, Samantha Ruth Prabhu, Pranitha Subhash. Released in: 2016."
A Aa,Trivikram Srinivas,"Nithiin, Samantha, Naresh, Srinivas Avasarala",2016,Telugu,"Movie Title: A Aa. Directed by: Trivikram Srinivas. Starring: Nithiin, Samantha, Naresh, Srinivas Avasarala. Released in: 2016."
Sri Sri,Muppalaneni Siva,"Krishna, Vijay Nirmala",2016,Telugu,"Movie Title: Sri Sri. Directed by: Muppalaneni Siva. Starring: Krishna, Vijay Nirmala. Released in: 2016."
Dandakaranyam,R. Narayana Murthy,"R. Narayana Murthy, Gaddar",2016,Telugu,"Movie Title: Dandakaranyam. Directed by: R. Narayana Murthy. Starring: R. Narayana Murthy, Gaddar. Released in: 2016."
Seesa,Mohamad Issack,"Sivaji, Chaswa, Namratha",2016,Telugu,"Movie Title: Seesa. Directed by: Mohamad Issack. Starring: Sivaji, Chaswa, Namratha. Released in: 2016."
Drishya Kavyam,Bella Ramakrishna Reddy,"Ram Karthik, Kashmira Kulkarni",2016,Telugu,"Movie Title: Drishya Kavyam. Directed by: Bella Ramakrishna Reddy. Starring: Ram Karthik, Kashmira Kulkarni. Released in: 2016."
Nenu Maa College,S. S. Dhakar,"Manoj Nandan, Sisha, Srihari",2016,Telugu,"Movie Title: Nenu Maa College. Directed by: S. S. Dhakar. Starring: Manoj Nandan, Sisha, Srihari. Released in: 2016."
Lajja,Narasimha Nandi,"Madhumitha, Varun, Shiva",2016,Telugu,"Movie Title: Lajja. Directed by: Narasimha Nandi. Starring: Madhumitha, Varun, Shiva. Released in: 2016."
Speedunnodu,Bhimaneni Srinivasa Rao,"Bellamkonda Sreenivas, Sonarika Bhadoria",2016,Telugu,"Movie Title: Speedunnodu. Directed by: Bhimaneni Srinivasa Rao. Starring: Bellamkonda Sreenivas, Sonarika Bhadoria. Released in: 2016."
Vennello Hai Hai,Vamsy,"Ajmal, Nikitha Narayan",2016,Telugu,"Movie Title: Vennello Hai Hai. Directed by: Vamsy. Starring: Ajmal, Nikitha Narayan. Released in: 2016."
Krishna Gaadi Veera Prema Gaadha,Hanu Raghavapudi,"Nani, Mehreen Pirzada, Sampath Raj, Murali Sharma, Harish Uthaman",2016,Telugu,"Movie Title: Krishna Gaadi Veera Prema Gaadha. Directed by: Hanu Raghavapudi. Starring: Nani, Mehreen Pirzada, Sampath Raj, Murali Sharma, Harish Uthaman. Released in: 2016."
Garam,Madan,"Aadi, Adah Sharma, Brahmanandam",2016,Telugu,"Movie Title: Garam. Directed by: Madan. Starring: Aadi, Adah Sharma, Brahmanandam. Released in: 2016."
Krishnashtami,Vasu Varma,"Sunil, Nikki Galrani, Dimple Chopade",2016,Telugu,"Movie Title: Krishnashtami. Directed by: Vasu Varma. Starring: Sunil, Nikki Galrani, Dimple Chopade. Released in: 2016."
Malupu,Sathya Prabhas Pinisetty,"Aadhi, Nikki Galrani, Mithun Chakraborty, Richa Pallod, Pasupathy",2016,Telugu,"Movie Title: Malupu. Directed by: Sathya Prabhas Pinisetty. Starring: Aadhi, Nikki Galrani, Mithun Chakraborty, Richa Pallod, Pasupathy. Released in: 2016."
Kshanam,Ravikanth,"Adivi Sesh, Adah Sharma, Anasuya",2016,Telugu,"Movie Title: Kshanam. Directed by: Ravikanth. Starring: Adivi Sesh, Adah Sharma, Anasuya. Released in: 2016."
Lacchimdeviki O Lekkundi,Jagadish Talasila,"Lavanya Tripathi, Naveen Chandra",2016,Telugu,"Movie Title: Lacchimdeviki O Lekkundi. Directed by: Jagadish Talasila. Starring: Lavanya Tripathi, Naveen Chandra. Released in: 2016."
Eluka Majaka,Relangi Narasimha Rao,"Vennela Kishore, Brahmanandam, Pavani",2016,Telugu,"Movie Title: Eluka Majaka. Directed by: Relangi Narasimha Rao. Starring: Vennela Kishore, Brahmanandam, Pavani. Released in: 2016."
Terror,Sathish Kasetty,"Srikanth, Nikhita Thukral, Prudhvi, Nassar",2016,Telugu,"Movie Title: Terror. Directed by: Sathish Kasetty. Starring: Srikanth, Nikhita Thukral, Prudhvi, Nassar. Released in: 2016."
Veeri Veeri Gu,M V Sagar,"Rudra, Venne, Raghu Babu",2016,Telugu,"Movie Title: Veeri Veeri Gu. Directed by: M V Sagar. Starring: Rudra, Venne, Raghu Babu. Released in: 2016."
Guntur Talkies,Praveen Sattaru,"Siddu Jonnalagadda, Rashmi Gautham, Shraddha Das",2016,Telugu,"Movie Title: Guntur Talkies. Directed by: Praveen Sattaru. Starring: Siddu Jonnalagadda, Rashmi Gautham, Shraddha Das. Released in: 2016."
Kalyana Vaibhogame,Nandini Reddy,"Naga Shourya, Malavika Nair, Raasi",2016,Telugu,"Movie Title: Kalyana Vaibhogame. Directed by: Nandini Reddy. Starring: Naga Shourya, Malavika Nair, Raasi. Released in: 2016."
Shourya,K. Dasaradh,"Manoj Manchu, Regina Cassandra, Prakash Raj",2016,Telugu,"Movie Title: Shourya. Directed by: K. Dasaradh. Starring: Manoj Manchu, Regina Cassandra, Prakash Raj. Released in: 2016."
Tuntari,Kumar Nagendra,"Nara Rohit, Latha Hegde, Kabir Duhan Singh",2016,Telugu,"Movie Title: Tuntari. Directed by: Kumar Nagendra. Starring: Nara Rohit, Latha Hegde, Kabir Duhan Singh. Released in: 2016."
Tulasi Dalam,R. P. Patnaik,"Nischal, Vandana Gupta, R. P. Patnaik",2016,Telugu,"Movie Title: Tulasi Dalam. Directed by: R. P. Patnaik. Starring: Nischal, Vandana Gupta, R. P. Patnaik. Released in: 2016."
O Sthree Repu Raa,T. Ashok Kumar Reddy,"Ashish Gandhi, Diksha Panth, Shruthi Mol",2016,Telugu,"Movie Title: O Sthree Repu Raa. Directed by: T. Ashok Kumar Reddy. Starring: Ashish Gandhi, Diksha Panth, Shruthi Mol. Released in: 2016."
Padesave,Chuniya,"Karthik Raju, Nithya Shetty, Sam",2016,Telugu,"Movie Title: Padesave. Directed by: Chuniya. Starring: Karthik Raju, Nithya Shetty, Sam. Released in: 2016."
Okka Ammayi Thappa,Rajasimha Tadinada,"Sundeep Kishan, Nithya Menen, Ravi Kishan, Ali, Prudhviraj",2016,Telugu,"Movie Title: Okka Ammayi Thappa. Directed by: Rajasimha Tadinada. Starring: Sundeep Kishan, Nithya Menen, Ravi Kishan, Ali, Prudhviraj. Released in: 2016."
James Bond,Sai Kishore Macha,"Allari Naresh, Sakshi Chaudhary",2015,Telugu,"Movie Title: James Bond. Directed by: Sai Kishore Macha. Starring: Allari Naresh, Sakshi Chaudhary. Released in: 2015."
The Bells,Nellutla Praveen Chander,"Ryan Rahul, Neha Deshpande",2015,Telugu,"Movie Title: The Bells. Directed by: Nellutla Praveen Chander. Starring: Ryan Rahul, Neha Deshpande. Released in: 2015."
Lava Kusa,Jaya Sreesivan,"Varun Sandesh, Richa Panai",2015,Telugu,"Movie Title: Lava Kusa. Directed by: Jaya Sreesivan. Starring: Varun Sandesh, Richa Panai. Released in: 2015."
Gopala Gopala,Kishore Kumar,"Venkatesh, Pawan Kalyan, Shriya Saran, Mithun Chakraborthy",2015,Telugu,"Movie Title: Gopala Gopala. Directed by: Kishore Kumar. Starring: Venkatesh, Pawan Kalyan, Shriya Saran, Mithun Chakraborthy. Released in: 2015."
Pataas,Anil Ravipudi,"Nandamuri Kalyan Ram, Shruti Sodhi, Sai Kumar, Ashutosh Rana",2015,Telugu,"Movie Title: Pataas. Directed by: Anil Ravipudi. Starring: Nandamuri Kalyan Ram, Shruti Sodhi, Sai Kumar, Ashutosh Rana. Released in: 2015."
Beeruva,Kanmani,"Sundeep Kishan, Surabhi",2015,Telugu,"Movie Title: Beeruva. Directed by: Kanmani. Starring: Sundeep Kishan, Surabhi. Released in: 2015."
Intelligent Idiots,Balaji Sanala,"Posani Krishna Murali, Vikram Shekar, Prabhjeet Kaur, Saptagiri",2015,Telugu,"Movie Title: Intelligent Idiots. Directed by: Balaji Sanala. Starring: Posani Krishna Murali, Vikram Shekar, Prabhjeet Kaur, Saptagiri. Released in: 2015."
Top Rankers,Gollapati Nageshwara Rao,"Rajendra Prasad, Sony Charistha",2015,Telugu,"Movie Title: Top Rankers. Directed by: Gollapati Nageshwara Rao. Starring: Rajendra Prasad, Sony Charistha. Released in: 2015."
Ladies & Gentleman,P B Manjunath,"Adivi Sesh, Chaitanya Krishna, Kamal Kamaraju, Nikitha Narayan",2015,Telugu,"Movie Title: Ladies & Gentleman. Directed by: P B Manjunath. Starring: Adivi Sesh, Chaitanya Krishna, Kamal Kamaraju, Nikitha Narayan. Released in: 2015."
O Manasa,Sahaja Rao,"Ajay, Aparna Bajpai",2015,Telugu,"Movie Title: O Manasa. Directed by: Sahaja Rao. Starring: Ajay, Aparna Bajpai. Released in: 2015."
Dorakadu,Varaprasad,"Sivaji, Gayathri Iyer, Suman, Ajay, Babu Mohan",2015,Telugu,"Movie Title: Dorakadu. Directed by: Varaprasad. Starring: Sivaji, Gayathri Iyer, Suman, Ajay, Babu Mohan. Released in: 2015."
Gaddam Gang,Santhosh P. Jayakumar,"Rajasekhar, Sheena Shahabadi, Naresh, Seetha",2015,Telugu,"Movie Title: Gaddam Gang. Directed by: Santhosh P. Jayakumar. Starring: Rajasekhar, Sheena Shahabadi, Naresh, Seetha. Released in: 2015."
Malli Malli Idi Rani Roju,Kranthi Madhav,"Sharwanand, Nithya Menen, Tejaswi Madivada, Nassar, Pavitra Lokesh",2015,Telugu,"Movie Title: Malli Malli Idi Rani Roju. Directed by: Kranthi Madhav. Starring: Sharwanand, Nithya Menen, Tejaswi Madivada, Nassar, Pavitra Lokesh. Released in: 2015."
Moodu Mukkallo Cheppalante,Madhumitha,"Rakendu Mouli, Aditi Chengappa, Venkatesh Harinathan",2015,Telugu,"Movie Title: Moodu Mukkallo Cheppalante. Directed by: Madhumitha. Starring: Rakendu Mouli, Aditi Chengappa, Venkatesh Harinathan. Released in: 2015."
Pesarattu,Mahesh Kathi,"Nandu, Nikitha Narayan, Sampoornesh Babu",2015,Telugu,"Movie Title: Pesarattu. Directed by: Mahesh Kathi. Starring: Nandu, Nikitha Narayan, Sampoornesh Babu. Released in: 2015."
Temper,Puri Jagannadh,"N. T. Rama Rao Jr., Kajal Aggarwal, Prakash Raj",2015,Telugu,"Movie Title: Temper. Directed by: Puri Jagannadh. Starring: N. T. Rama Rao Jr., Kajal Aggarwal, Prakash Raj. Released in: 2015."
Paddanandi Premalo Mari,Mahesh Upputuri,"Varun Sandesh, Vithika Sheru",2015,Telugu,"Movie Title: Paddanandi Premalo Mari. Directed by: Mahesh Upputuri. Starring: Varun Sandesh, Vithika Sheru. Released in: 2015."
Bandipotu,Mohan Krishna Indraganti,"Allari Naresh, Eesha Rebba, Srinivas Avasarala, Rao Ramesh, Tanikella Bharani",2015,Telugu,"Movie Title: Bandipotu. Directed by: Mohan Krishna Indraganti. Starring: Allari Naresh, Eesha Rebba, Srinivas Avasarala, Rao Ramesh, Tanikella Bharani. Released in: 2015."
Nuvvu Nenu Okatavudaam,P. Narasimha Reddy,"Ranjith Swamy, Sana, Ali, Jaya Prakash Reddy",2015,Telugu,"Movie Title: Nuvvu Nenu Okatavudaam. Directed by: P. Narasimha Reddy. Starring: Ranjith Swamy, Sana, Ali, Jaya Prakash Reddy. Released in: 2015."
Mana Kurralle,Veera Sankar,"Arvind Krishna, Rachana Malhotra, Krishnudu, Roopa Kaur",2015,Telugu,"Movie Title: Mana Kurralle. Directed by: Veera Sankar. Starring: Arvind Krishna, Rachana Malhotra, Krishnudu, Roopa Kaur. Released in: 2015."
A Shyam Gopal Varma Film,Rakesh Srinivas,"Shafi, Zoya Khan, L. B. Sriram, Jaya Prakash Reddy",2015,Telugu,"Movie Title: A Shyam Gopal Varma Film. Directed by: Rakesh Srinivas. Starring: Shafi, Zoya Khan, L. B. Sriram, Jaya Prakash Reddy. Released in: 2015."
Chinnadana Nee Kosam,A. Karunakaran,"Nithiin, Mishti, Nassar, Naresh, Sithara, Ali",2014,Telugu,"Movie Title: Chinnadana Nee Kosam. Directed by: A. Karunakaran. Starring: Nithiin, Mishti, Nassar, Naresh, Sithara, Ali. Released in: 2014."
Mukunda,Srikanth Addala,"Varun Tej, Pooja Hegde, Prakash Raj",2014,Telugu,"Movie Title: Mukunda. Directed by: Srikanth Addala. Starring: Varun Tej, Pooja Hegde, Prakash Raj. Released in: 2014."
Atreya,Shanthikumar Chilumula,"Aditya, Anuhya, Sri Raj, Jeeva, Meenakshi",2014,Telugu,"Movie Title: Atreya. Directed by: Shanthikumar Chilumula. Starring: Aditya, Anuhya, Sri Raj, Jeeva, Meenakshi. Released in: 2014."
Ice Cream 2,Ram Gopal Varma,"J. D. Chakravarthy, Naveena, Tanikella Bharani, Jeeva",2014,Telugu,"Movie Title: Ice Cream 2. Directed by: Ram Gopal Varma. Starring: J. D. Chakravarthy, Naveena, Tanikella Bharani, Jeeva. Released in: 2014."
Rowdy Fellow,Krishna Chaitanya,"Nara Rohit, Vishakha Singh, Nandini Rai, Rao Ramesh",2014,Telugu,"Movie Title: Rowdy Fellow. Directed by: Krishna Chaitanya. Starring: Nara Rohit, Vishakha Singh, Nandini Rai, Rao Ramesh. Released in: 2014."
Naa Bangaaru Talli,Rajesh Touchriver,"Siddique, Anjali Patil, Lakshmi Menon, Rathna Shekar Reddy",2014,Telugu,"Movie Title: Naa Bangaaru Talli. Directed by: Rajesh Touchriver. Starring: Siddique, Anjali Patil, Lakshmi Menon, Rathna Shekar Reddy. Released in: 2014."
33 Prema Kathalu,Siva Ganesh,"Vivek, Sunitha Marasiar, Sravani",2014,Telugu,"Movie Title: 33 Prema Kathalu. Directed by: Siva Ganesh. Starring: Vivek, Sunitha Marasiar, Sravani. Released in: 2014."
Yamaleela 2,S. V. Krishna Reddy,"Dr.K.V.Satish, Diah Nicolas, Sadha, Mohan Babu, Brahmanandam, Nisha Kothari, Sayaji Shinde, Ali, Ashish Vidyarthi",2014,Telugu,"Movie Title: Yamaleela 2. Directed by: S. V. Krishna Reddy. Starring: Dr.K.V.Satish, Diah Nicolas, Sadha, Mohan Babu, Brahmanandam, Nisha Kothari, Sayaji Shinde, Ali, Ashish Vidyarthi. Released in: 2014."
Rough,C. H. Subba Reddy,"Aadi, Rakul Preet Singh, Srihari, Raghu Babu",2014,Telugu,"Movie Title: Rough. Directed by: C. H. Subba Reddy. Starring: Aadi, Rakul Preet Singh, Srihari, Raghu Babu. Released in: 2014."
Ala Ela,Aneesh Krishna,"Rahul Ravindran, Bhanu Sri Mehra, Vennela Kishore, Shaani Salman, Khushi, Heebah Patel",2014,Telugu,"Movie Title: Ala Ela. Directed by: Aneesh Krishna. Starring: Rahul Ravindran, Bhanu Sri Mehra, Vennela Kishore, Shaani Salman, Khushi, Heebah Patel. Released in: 2014."
Gayakudu,Kamal. G,"Ali Reza, Shriya Sharma, Santosh Pawan, M S Narayana, Sapta Giri",2015,Telugu,"Movie Title: Gayakudu. Directed by: Kamal. G. Starring: Ali Reza, Shriya Sharma, Santosh Pawan, M S Narayana, Sapta Giri. Released in: 2015."
Sri Vasavi Kanyaka Parameswari Charitra,Sripada Ramachandra Rao,"Suman, Ramya Krishna",2014,Telugu,"Movie Title: Sri Vasavi Kanyaka Parameswari Charitra. Directed by: Sripada Ramachandra Rao. Starring: Suman, Ramya Krishna. Released in: 2014."
Lakshmi Raave Maa Intiki,Nandyala Ravi,"Naga Shourya, Avika Gor",2014,Telugu,"Movie Title: Lakshmi Raave Maa Intiki. Directed by: Nandyala Ravi. Starring: Naga Shourya, Avika Gor. Released in: 2014."
The End,Rahul Sankrityan,"Yuva Chandraa, Sudhir Reddy, Gazal Somaiah, Pavani Reddy",2014,Telugu,"Movie Title: The End. Directed by: Rahul Sankrityan. Starring: Yuva Chandraa, Sudhir Reddy, Gazal Somaiah, Pavani Reddy. Released in: 2014."
Vundile Manchi Kalam Mundu Mundura,Arun Daasyam,"Sudhakar Komakula, Avantika Mohan",2014,Telugu,"Movie Title: Vundile Manchi Kalam Mundu Mundura. Directed by: Arun Daasyam. Starring: Sudhakar Komakula, Avantika Mohan. Released in: 2014."
Choosinodiki Choosinanta,Anil Vatupalli,"Sivaji, Nagendra Babu, Leslie Tripathy",2014,Telugu,"Movie Title: Choosinodiki Choosinanta. Directed by: Anil Vatupalli. Starring: Sivaji, Nagendra Babu, Leslie Tripathy. Released in: 2014."
Ee Varsham Sakshiga,Ramana Mogili,"Varun Sandesh, Haripriya",2014,Telugu,"Movie Title: Ee Varsham Sakshiga. Directed by: Ramana Mogili. Starring: Varun Sandesh, Haripriya. Released in: 2014."
Saheba Subramanyam,Sasikiran Naryana,"Dilip Kumar, Priyanka Gor, Rao Ramesh",2014,Telugu,"Movie Title: Saheba Subramanyam. Directed by: Sasikiran Naryana. Starring: Dilip Kumar, Priyanka Gor, Rao Ramesh. Released in: 2014."
Panchabhoothalu Sakshiga,Kalicharan Maadina,"Kalicharan, Manashwini, Chitram srinu, Bindu",2014,Telugu,"Movie Title: Panchabhoothalu Sakshiga. Directed by: Kalicharan Maadina. Starring: Kalicharan, Manashwini, Chitram srinu, Bindu. Released in: 2014."
O Manishi Katha,Radha Swamy Avula,"Jagapati Babu, Kalyani",2014,Telugu,"Movie Title: O Manishi Katha. Directed by: Radha Swamy Avula. Starring: Jagapati Babu, Kalyani. Released in: 2014."
Chakkiligintha,Vema Reddy,"Sumanth Ashwin, Rehana",2014,Telugu,"Movie Title: Chakkiligintha. Directed by: Vema Reddy. Starring: Sumanth Ashwin, Rehana. Released in: 2014."
Baahubali: The Beginning,S.S. Rajamouli,"Prabhas, Rana, Tamannaah, Anushka Shetty, Satyaraj, Ramya Krishnan, Nassar",2015,Telugu,"Movie Title: Baahubali: The Beginning. Directed by: S.S. Rajamouli. Starring: Prabhas, Rana, Tamannaah, Anushka Shetty, Satyaraj, Ramya Krishnan, Nassar. Released in: 2015."
Bham Bolenath,Karthik Varma Dandu,"Navdeep, Naveen Chandra, Pooja Jhaveri",2015,Telugu,"Movie Title: Bham Bolenath. Directed by: Karthik Varma Dandu. Starring: Navdeep, Naveen Chandra, Pooja Jhaveri. Released in: 2015."
Surya vs Surya,Karthik Ghattamaneni,"Nikhil Siddharth, Tanikella Bharani, Tridha Choudhary",2015,Telugu,"Movie Title: Surya vs Surya. Directed by: Karthik Ghattamaneni. Starring: Nikhil Siddharth, Tanikella Bharani, Tridha Choudhary. Released in: 2015."
Mosagallaku Mosagadu,AN Bose,"Sudheer Babu, Nandini Rai, Abhimanyu",2015,Telugu,"Movie Title: Mosagallaku Mosagadu. Directed by: AN Bose. Starring: Sudheer Babu, Nandini Rai, Abhimanyu. Released in: 2015."
365 Days,RGV,"Nandoo, Anaika Soti",2015,Telugu,"Movie Title: 365 Days. Directed by: RGV. Starring: Nandoo, Anaika Soti. Released in: 2015."
Pandaga Chesko,Gopichand Malineni,"Ram, Rakul, Sonal Chauhan, Brahmanandam, Sampath Raj, Abhimanyu Singh",2015,Telugu,"Movie Title: Pandaga Chesko. Directed by: Gopichand Malineni. Starring: Ram, Rakul, Sonal Chauhan, Brahmanandam, Sampath Raj, Abhimanyu Singh. Released in: 2015."
Andhra Pori,Raj Mudiraju,"Akash Puri, Ulka Gupta",2015,Telugu,"Movie Title: Andhra Pori. Directed by: Raj Mudiraju. Starring: Akash Puri, Ulka Gupta. Released in: 2015."
Asura,Krishna Vijay,"Nara Rohit, Priya Banerjee",2015,Telugu,"Movie Title: Asura. Directed by: Krishna Vijay. Starring: Nara Rohit, Priya Banerjee. Released in: 2015."
Singam 123,Akshat Sharma,Sampoornesh Babu,2015,Telugu,Movie Title: Singam 123. Directed by: Akshat Sharma. Starring: Sampoornesh Babu. Released in: 2015.
Jyothi Lakshmi,Puri Jagannadh,Charmy Kaur,2015,Telugu,Movie Title: Jyothi Lakshmi. Directed by: Puri Jagannadh. Starring: Charmy Kaur. Released in: 2015.
Kerintha,Kiran,"Sumanth, Sri Divya, Tejaswi",2015,Telugu,"Movie Title: Kerintha. Directed by: Kiran. Starring: Sumanth, Sri Divya, Tejaswi. Released in: 2015."
Krishnamma Kalipindi Iddarini,R. Chandru,"Sudheer Babu, Nanditha, M.S. Narayana, Saptagiri",2015,Telugu,"Movie Title: Krishnamma Kalipindi Iddarini. Directed by: R. Chandru. Starring: Sudheer Babu, Nanditha, M.S. Narayana, Saptagiri. Released in: 2015."
Tippu,Jagadish,"Karthik, Kanika, Chalapathi Rao, Krishna Bhagavan",2015,Telugu,"Movie Title: Tippu. Directed by: Jagadish. Starring: Karthik, Kanika, Chalapathi Rao, Krishna Bhagavan. Released in: 2015."
Vinavayya Ramayya,Prasad,"Anvesh, Kruthika, Prakash Raj, Brahmanandam",2015,Telugu,"Movie Title: Vinavayya Ramayya. Directed by: Prasad. Starring: Anvesh, Kruthika, Prakash Raj, Brahmanandam. Released in: 2015."
Jadoogadu,Yogie,"Naga Shourya, Sonarika, Ajay, Kota Srinivasa Rao, Saptagiri",2015,Telugu,"Movie Title: Jadoogadu. Directed by: Yogie. Starring: Naga Shourya, Sonarika, Ajay, Kota Srinivasa Rao, Saptagiri. Released in: 2015."
Tiger,Anand,"Sundeep Kishan, Seerat Kapoor, Rahul Ravindran",2015,Telugu,"Movie Title: Tiger. Directed by: Anand. Starring: Sundeep Kishan, Seerat Kapoor, Rahul Ravindran. Released in: 2015."
Where Is Vidya Balan,Srinivas,"Prince, Sethi",2015,Telugu,"Movie Title: Where Is Vidya Balan. Directed by: Srinivas. Starring: Prince, Sethi. Released in: 2015."
Mantra 2,Satish,"Charmme Kaur, Chethan Cheenu",2015,Telugu,"Movie Title: Mantra 2. Directed by: Satish. Starring: Charmme Kaur, Chethan Cheenu. Released in: 2015."
Superstar Kidnap,A.Sushanth Reddy,"Nandu, Aadarsh Balakrishna, Bhupal, Poonam Kaur",2015,Telugu,"Movie Title: Superstar Kidnap. Directed by: A.Sushanth Reddy. Starring: Nandu, Aadarsh Balakrishna, Bhupal, Poonam Kaur. Released in: 2015."
